CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15232000;CHIQUIZA(BOYACA);OTROS DESTINOS;3406;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;20178000;CHIRIGUANA(CESAR);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15180000;CHISCAS(BOYACA);NACIONAL;2900;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15183000;CHITA(BOYACA);NACIONAL;2900;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;54174000;CHITAGA(NORTE DE SANTANDER);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15185000;CHITARAQUE(BOYACA);NACIONAL;3650;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15187000;CHIVATA(BOYACA);OTROS DESTINOS;3406;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;47170000;CHIVOLO(MAGDALENA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15236000;CHIVOR(BOYACA);ZONAL;3565;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25181000;CHOACHI(CUNDINAMARCA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25183000;CHOCONTA(CUNDINAMARCA);OTROS DESTINOS;2978;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CHONTADURO(VALLE DEL CAUCA);NACIONAL;2528;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;13188000;CICUCO(BOLIVAR);NACIONAL;3363;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;47189000;CIENAGA(MAGDALENA);NACIONAL;1307;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;23189000;CIENAGA DE ORO(CORDOBA);ZONAL;2188;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15189000;CIENEGA(BOYACA);OTROS DESTINOS;2900;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68190000;CIMITARRA(SANTANDER);OTROS DESTINOS;2900;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;63190000;CIRCASIA(QUINDIO);ZONAL;2284;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5190000;CISNEROS(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CISNEROS(VALLE DEL CAUCA);OTROS DESTINOS;3041;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5101000;CIUDAD BOLIVAR(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;13222000;CLEMENCIA(BOLIVAR);NACIONAL;767000;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;COCONUCO(CAUCA);OTROS DESTINOS;2528;8;OTROS DESTINOS;;
